name
javascript
es6
es7
webpack/babel
react
redux
redux-saga
antd
react-virtualized
react-dnd
node.js
express
mongodb
mongoose
sails
postgres
mysql
html5
css
sass
less
backbone.js
web components
component based architecture
html layouts
basic seo
puppeteer
chrome devtools protocol
casper
phantomjs
jsdom
grunt
gulp
shell scripting
brew
linux
ubuntu
